Country,Sub-Region,Region,Size,Updated
Afghanistan,Southern Asia,Asia,40.8 MB,"September 2, 2020, 07:48:44 (UTC+02:00)"
Albania,Southern Europe,Europe,1.9 MB,"September 2, 2020, 07:48:46 (UTC+02:00)"
Algeria,Northern Africa,Africa,142.1 MB,"September 2, 2020, 07:48:44 (UTC+02:00)"
Andorra,Southern Europe,Europe,30.6 KB,"September 2, 2020, 07:48:44 (UTC+02:00)"
Angola,Sub-Saharan Africa,Africa,68.6 MB,"September 2, 2020, 07:48:44 (UTC+02:00)"
Argentina,Latin America and the Caribbean,Americas,159.5 MB,"September 2, 2020, 07:48:45 (UTC+02:00)"
Armenia,Western Asia,Asia,1.8 MB,"September 2, 2020, 07:48:51 (UTC+02:00)"
Aruba,Latin America and the Caribbean,Americas,8.0 KB,"September 15, 2020, 04:32:46 (UTC+02:00)"
Australia,Australia and New Zealand,Oceania,436.1 MB,"September 15, 2020, 04:32:46 (UTC+02:00)"
Austria,Western Europe,Europe,6.6 MB,"September 2, 2020, 07:49:16 (UTC+02:00)"
Azerbaijan,Western Asia,Asia,5.9 MB,"September 2, 2020, 07:49:39 (UTC+02:00)"
Bahrain,Western Asia,Asia,12.1 KB,"September 15, 2020, 04:32:46 (UTC+02:00)"
Bangladesh,Southern Asia,Asia,7.8 MB,"September 2, 2020, 07:50:08 (UTC+02:00)"
Belgium,Western Europe,Europe,2.5 MB,"September 2, 2020, 07:50:18 (UTC+02:00)"
Belize,Latin America and the Caribbean,Americas,1.2 MB,"September 2, 2020, 07:50:22 (UTC+02:00)"
Benin,Sub-Saharan Africa,Africa,6.2 MB,"September 2, 2020, 07:50:45 (UTC+02:00)"
Bhutan,Southern Asia,Asia,2.4 MB,"September 2, 2020, 07:50:54 (UTC+02:00)"
Botswana,Sub-Saharan Africa,Africa,33.3 MB,"September 2, 2020, 07:51:09 (UTC+02:00)"
Brazil,Latin America and the Caribbean,Americas,443.9 MB,"September 2, 2020, 07:51:10 (UTC+02:00)"
Bulgaria,Eastern Europe,Europe,8.1 MB,"September 2, 2020, 07:53:27 (UTC+02:00)"
Burkina Faso,Sub-Saharan Africa,Africa,15.2 MB,"September 2, 2020, 07:53:45 (UTC+02:00)"
Burundi,Sub-Saharan Africa,Africa,1.3 MB,"September 2, 2020, 07:53:33 (UTC+02:00)"
Cambodia,South-eastern Asia,Asia,9.9 MB,"September 2, 2020, 07:54:01 (UTC+02:00)"
Cameroon,Sub-Saharan Africa,Africa,22.7 MB,"September 2, 2020, 07:54:07 (UTC+02:00)"
Canada,Northern America,Americas,407.9 MB,"September 2, 2020, 07:54:10 (UTC+02:00)"
Central African Republic,Sub-Saharan Africa,Africa,33.5 MB,"September 2, 2020, 07:55:25 (UTC+02:00)"
Chad,Sub-Saharan Africa,Africa,69.5 MB,"September 2, 2020, 07:57:15 (UTC+02:00)"
Chile,Latin America and the Caribbean,Americas,31.4 MB,"September 2, 2020, 07:57:17 (UTC+02:00)"
China,Eastern Asia,Asia,602.8 MB,"September 2, 2020, 07:58:04 (UTC+02:00)"
Colombia,Latin America and the Caribbean,Americas,43.9 MB,"September 2, 2020, 08:00:08 (UTC+02:00)"
Congo,Sub-Saharan Africa,Africa,191.0 B,"September 2, 2020, 08:00:51 (UTC+02:00)"
